id,word_1_en,word_2_en,word_3_en,word_1_ja,word_2_ja,word_3_ja,word_class,word_structure_A,word_structure_B,word_alt_en,word_alt_ja,word_IPA,img_URL,word_description,ENG_1,ENG_2,ENG_3,JPN_1,JPN_2,JPN_3,remind_frag,quiz_level
1,create,create a masterpiece.,He creates a breathtaking masterpiece.,作成する,傑作を創造する,彼は息をのむような傑作を作り出す。,動詞,cre- (作る) + -ate (動詞化),「作る」→新しいものを生み出す動作,creature,生き物（創造されたもの）,/kriˈeɪt/,public\images\create.webp,新しいものを生み出す、アイデアを形にする,public\audio\ENG\1\create.mp3,public\audio\ENG\2\create.mp3,public\audio\ENG\3\create.mp3,public\audio\JPN\1\create.mp3,public\audio\JPN\2\create.mp3,public\audio\JPN\3\create.mp3,FALSE,1
2,increase,increase rapidly,The demand is increasing rapidly,増加する,急速に増加する,需要は急速に増加しています。,動詞,in- (内部へ) + creas- (成長),「内部で成長する」→量や程度が増す,decreasing,減少する（反対の意味）,/ɪnˈkriːs/,public\images\increase.webp,量や程度が増える、拡大する,public\audio\ENG\1\increase.mp3,public\audio\ENG\2\increase.mp3,public\audio\ENG\3\increase.mp3,public\audio\JPN\1\increase.mp3,public\audio\JPN\2\increase.mp3,public\audio\JPN\3\increase.mp3,FALSE,1
3,improve,improve skills,Practice improves skills significantly.,改善する,スキルを向上させる,練習はスキルを大幅に向上させます。,動詞,im- (より良く) + prove- (証明),「より良い状態を証明する」→質を向上させる,improvement,改善,/ɪmˈpruːv/,public\images\improve.webp,より良い状態や品質にする、進歩させる,public\audio\ENG\1\improve.mp3,public\audio\ENG\2\improve.mp3,public\audio\ENG\3\improve.mp3,public\audio\JPN\1\improve.mp3,public\audio\JPN\2\improve.mp3,public\audio\JPN\3\improve.mp3,FALSE,1
4,mean,meaning of the word,I don't understand the meaning of the word,意味する,単語の意味,私はその言葉の意味が理解できません。,動詞,mean (間),「間にある」→意図や意味を持つこと,median,中央（平均値）,/miːn/,public\images\mean.webp,特定の意味を持つ、重要である,public\audio\ENG\1\mean.mp3,public\audio\ENG\2\mean.mp3,public\audio\ENG\3\mean.mp3,public\audio\JPN\1\mean.mp3,public\audio\JPN\2\mean.mp3,public\audio\JPN\3\mean.mp3,FALSE,1
5,own,own a car,I plan to own a car soon.,所有する,車を所有する,私は近いうちに車を所有する予定です。,動詞,own (所有),「自分のもの」→所有を示す,owner,所有者,/oʊn/,public\images\own.webp,物や権利を所有する、自分のものである,public\audio\ENG\1\own.mp3,public\audio\ENG\2\own.mp3,public\audio\ENG\3\own.mp3,public\audio\JPN\1\own.mp3,public\audio\JPN\2\own.mp3,public\audio\JPN\3\own.mp3,FALSE,1
6,include,include components.,This package includes components completely.,含む,成分を含める,このパッケージにはすべての部品が含まれています。,動詞,in- (内部へ) + clude- (閉じる),「内部に閉じ込める」→含むこと,exclusive,排他的な（含まない）,/ɪnˈkluːd/,public\images\include.webp,一緒に入れる、含まれる,public\audio\ENG\1\include.mp3,public\audio\ENG\2\include.mp3,public\audio\ENG\3\include.mp3,public\audio\JPN\1\include.mp3,public\audio\JPN\2\include.mp3,public\audio\JPN\3\include.mp3,FALSE,1
7,consider,consider the possibilities,Consider all possibilities before deciding.,考慮する,可能性を考慮する,決定する前にすべての可能性を考慮してください。,動詞,con- (一緒に) + sider- (星),「一緒に星を見る」→よく考慮すること,reconsider,再考する,/kənˈsɪdər/,public\images\consider.webp,注意深く考える、検討する,public\audio\ENG\1\consider.mp3,public\audio\ENG\2\consider.mp3,public\audio\ENG\3\consider.mp3,public\audio\JPN\1\consider.mp3,public\audio\JPN\2\consider.mp3,public\audio\JPN\3\consider.mp3,FALSE,1
8,allow,allow access,Laws allow unrestricted public access.,許可する,アクセスを許可する,法律は一般公開を許可しています。,動詞,al- (強調) + low- (許可),「強調された許可」→許すこと,allowance,許可,/əˈlaʊ/,public\images\allow.webp,可能性や行動の余地を与える、柔軟性を持たせる,public\audio\ENG\1\allow.mp3,public\audio\ENG\2\allow.mp3,public\audio\ENG\3\allow.mp3,public\audio\JPN\1\allow.mp3,public\audio\JPN\2\allow.mp3,public\audio\JPN\3\allow.mp3,FALSE,1
9,suggest,suggest improvements,Experts often suggest significant improvements.,提案する,改善を提案する,専門家はしばしば重要な改善を提案します。,動詞,sug- (下から) + ger- (引き出す),「下から引き出す」→提案すること,suggestion,提案,/səˈdʒest/,public\images\suggest.webp,アイデアや意見を示し、選択肢を提示する,public\audio\ENG\1\suggest.mp3,public\audio\ENG\2\suggest.mp3,public\audio\ENG\3\suggest.mp3,public\audio\JPN\1\suggest.mp3,public\audio\JPN\2\suggest.mp3,public\audio\JPN\3\suggest.mp3,FALSE,1
10,produce,produce goods,Factories worldwide produce various goods.,生産する,商品を生産する,世界中の工場がさまざまな商品を生産しています。,動詞,pro- (前へ) + duc- (導く),「前に導く」→何かを作り出すこと,product,製品,/prəˈduːs/,public\images\produce.webp,新しいものを創り出し、物事を実現する,public\audio\ENG\1\produce.mp3,public\audio\ENG\2\produce.mp3,public\audio\ENG\3\produce.mp3,public\audio\JPN\1\produce.mp3,public\audio\JPN\2\produce.mp3,public\audio\JPN\3\produce.mp3,FALSE,1
